,ID,city,activity_name,activity_description,primary_classification,primary_score,secondary_classification,secondary_score,population,latitude,longitude
10,10,"Àger, Spain",Sortida cicloturista fins al Parc Astronòmic del Montsec amb visita del parc inclosa,Sortida cicloturista fins al Parc Astronòmic del Montsec amb visita al parc inclosa per tal de mostrar l'itinerari segur per arribar fins al parc de forma sostenible i saludable.,Exhibition,0.4750122129917145,,,600,42.0007934,0.7610053
11,11,"Agramunt, Spain",Quina és la classe més sostenible?,"Fomentem que els nens i nenes dels centres escolar vagin amb bicicleta o patinet al centre escolar, cada dia, cada classe ha de comptar quanta gent utilitza transports sostenibles, al final de setmana es mira quina ha sigut la classe més sostenible.",Cultural/Sporting Event,0.6545058488845825,Cycling Event,0.5886222124099731,5515,41.7871869,1.0979794
12,12,"Aiguaviva, Spain",Caminada o pedalada,Enguany es planificarà la realització d'una caminada o pelada per la via verda del municipi,Cultural/Sporting Event,0.6757119297981262,Cycling Event,0.780882716178894,758,41.9376629,2.7620863
13,13,"Alajeró, Spain",“La fragilización de las personas en el espacio público”,Empoderamiento de personas mayores y con movilidad reducida para moverse con seguridad en entornos urbanos.,Cultural/Sporting Event,0.4201655387878418,Walking Tour,0.5980924367904663,2026,28.0633564,-17.2378262
14,14,"Alajeró, Spain",Exposición sobre Recuperación de Espacio Público,Muestra gráfica de actuaciones en el espacio público de ciudades pertenecientes a la Red de Ciudades que Caminan.,Exhibition,0.464752048254013,,,2026,28.0633564,-17.2378262
15,15,"Alajeró, Spain","Ponencia Marco: ""Recuperar el Espacio Público: el Tamaño No Importa""","Ponente: Uxío Benítez, teniente alcalde de Tomiño (Pontevedra) y diputado provincial (2015-2023).
Debate moderado por Doña Ana Montalbán Navas y representantes de las ciudades y pueblos canarios miembros de la Red.",Conference,0.5652217268943787,General Audience,0.6192370653152466,2026,28.0633564,-17.2378262
16,16,"Alajeró, Spain",| Caso Local: Proyecto de Transformación Urbana en Alajeró,"Presentación del proyecto de creación de zonas 20/30 con plataforma única de convivencia y prioridad peatonal en Playa Santiago, a cargo de Manuel Galván García, Ingeniero de caminos, canales y puertos.",Infrastructure Inauguration,0.3500635623931885,,,2026,28.0633564,-17.2378262
17,17,"Alajeró, Spain","Paseo, Reflexión y Propuesta","Paseo guiado por las intervenciones urbanas en Playa Santiago, Alajeró, con paradas para la reflexión conjunta.",Cultural/Sporting Event,0.7557279467582703,Walking Tour,0.990575075149536,2026,28.0633564,-17.2378262
18,18,"Albacete, Spain",Paseo en Bici,Paseo ciclista para la promoción del uso de la bicicleta y de la movilidad sostenible.,Cultural/Sporting Event,0.8795450925827026,Cycling Event,0.9574673175811768,172340,38.994349,-1.8585424
19,19,"Albalat de la Ribera, Spain",Xarrada sobre la mobilitat sostenible i l'espai públic,"Xarrada al CEIP Ausiàs March d'Albalat de la Ribera per part dels agents de la Policia Local, on explicaran la importància d'una mobilitat sostenible i com compartir col·lectivament l'espai públic i garantir que totes i tots puguem moure'ns d'una manera segura i còmoda en un entorn agradable.",Conference,0.7526403069496155,General Audience,0.8569789528846741,3444,39.2018284,-0.3877848
20,20,"Albesa, Spain",Caminada,No description available,Cultural/Sporting Event,0.5193387866020203,Walking Tour,0.9213788509368896,1558,41.752541,0.6595184
21,21,"Alcalá de Henares, Spain",CURSO APRENDER A MONTAR EN BICICLETA,"Del lunes 16 al viernes 20 de septiembre  de 18:00 a 19:00 h en el Parque O´Donnell (Puerta “Casita del O´Donnell”). La actividad se realiza con inscripción previa y es obligatorio casco, protecciones y bicicleta propia.

Montar en bicicleta es un hito para los niños que refuerza su sensación de independencia y crecimiento.

Aprender a montar en bicicleta es normalmente una cuestión de ocio o juego, sin embargo, la bicicleta es una alternativa al actual sistema de transporte. Combate el cambio climático, no consume recursos naturales, ahorra tiempo en muchos casos y supone un beneficio económico directo ¿te lo has planteado? Además, montar en bicicleta es saludable, ecológico, divertido…, si quieres que tu hijo aprenda a través de este curso es una buena oportunidad.

El curso lo realizan los niños solos, guiados por un educador para la realización de ejercicios que les permiten guardar el equilibrio y propulsarse.",Exhibition,0.2632699310779571,,,194000,40.4819791,-3.363542100000018
22,22,"Alcalá de Henares, Spain",RUTAS PEATONALES,"Dentro de las actividades ofertadas en el marco de la Semana Europea de la Movilidad, se realizaron itinerarios para recorrer las zonas verdes de la ciudad.",Cultural/Sporting Event,0.6086687445640564,Walking Tour,0.9055190086364746,194000,40.4819791,-3.363542100000018
23,23,"Alcanar, Spain","Taller ""Experimenta la mobilitat elèctrica""",Alumnes de 2n ESO a l'institut IES sòl de riu d'Alcanar,Cultural/Sporting Event,0.4686489701271057,Walking Tour,0.5191460251808167,9402,40.5430578,0.4767476
24,24,"Alcanó, Spain",Compartim l'espai públic. Alcanó es mou,"Pacificar de trànsit l'entorn de la zona escolar del poble.
Planificar un dia per fer mesures de trànsit (col·locar senyals, pintar passos de vianants...)
Organitzarem una caminada per englobar totes aquestes mesures",Cultural/Sporting Event,0.2629262804985046,Walking Tour,0.8789758682250977,240,41.46955519999999,0.6298922
25,25,"Alcoletge, Spain",PEDALADA POPULAR,"Pedalada popular, para todos los públicos, por el término municipal de Alcoletge",Exhibition,0.4121754467487335,,,3435,41.647636,0.694722
26,26,"Alella, Spain","Els dimecres, sense cotxe a l'escola",Durant tota la setmana es vol sensibilitzar i promocionar els camins escolars qdels centres educatius i concretament el dimescres 16 de setembre es vol fer el dia sense cotxe,Cultural/Sporting Event,0.5092374086380005,Walking Tour,0.6550928950309753,10110,41.4919653,2.2940817
27,27,"Algeciras, Spain",DIA TRANSPORTE BUS URBANO GRATUITO,Bus urbano colectivo gratuito con objeto de fomentar modos de transporte menos contaminante,Exhibition,0.4314389228820801,,,121000,36.14115346789328,-5.456233000000005
28,28,"Alguaire, Spain",PEDALADA PUPULAR,"Pedalada popular el dissabte dia 28 de setembre durant el matí.
Activitat familiar organitzada pel Club Ciclista Alguaire",Cultural/Sporting Event,0.5910593867301941,Cycling Event,0.9108339548110962,3200,41.7294516,0.554149
29,29,"Alicante, Spain",Taller reparación bicicletas,"Durante los cinco días laborales de la SEM se instalará, en una plaza diferente cada día, dos carpas de dimensiones 3 x 3 m para albergar un taller para asesorar y reparar bicicletas. El taller estará abierto al público de 9:00 h a 14:00 h y de 17:00 h a 20:00 h. El taller dispondrá de un mecánico de bicicletas con experiencia.",Conference,0.4271377325057983,General Audience,0.7778087258338928,332067,38.3459963,-0.4906855
30,30,"Alicante, Spain",Biciregistro,"El Biciregistro es un sistema informativo nacional de registro de bicicletas, propiedad de la Red de Ciudades por la Bicicleta. Se regalarán 100 kits de Biciregistro.",Cultural/Sporting Event,0.5869325995445251,Walking Tour,0.4718810319900512,332067,38.3459963,-0.4906855
31,31,"Alicante, Spain",Taller de conducción de patinetes eléctricos,"Se impartirá un taller de conducción de patinetes eléctricos, con cinco jornadas, durante los cinco días laborables de la SEM, con una duración de tres horas cada jornada, en horario de 17:00 a 20:00 horas. El taller estará compuesto por una parte teórica de una hora y una parte práctica de dos horas.",Conference,0.5698366165161133,General Audience,0.5979482531547546,332067,38.3459963,-0.4906855
32,32,"Alicante, Spain",Yincana Torres de la Huerta,"Se trata de una actividad familiar y se desarrollará en la zona de las Torres de la Huerta, con una duración de cuatro horas. Se trata de un juego, haciendo pequeñas pruebas de habilidad en las diferentes torres de la zona. Los participantes van de una torre a otra en bicicleta y vehículo de movilidad personal.",Cultural/Sporting Event,0.5177250504493713,Cycling Event,0.658824622631073,332067,38.3459963,-0.4906855
33,33,"Alicante, Spain",Ciclovía Litoral,"Consiste en cortar al tráfico general y habilitar para la circulación de bicicletas y vehículos de movilidad personal el tramo que discurre desde la Plaza Puerta del Mar hasta el cambio de sentido de la Rocafel-Adoc (en la Avda. Villajoyosa). Se trata de una actividad para la promoción de la bicicleta y el resto de la movilidad sostenible, no es competición, es una paseo ciclista, una actividad familiar.",Car-Free Day,0.7341703176498413,,,332067,38.3459963,-0.4906855
34,34,"Almatret, Spain",Cursa els Tossals,Cursa i caminada pels tossals d'Almatret,Cultural/Sporting Event,0.768264889717102,Cycling Event,0.4505161046981811,305,41.3057999,0.4237121
35,35,"Almenar, Spain",Caminata popular,No description available,Cultural/Sporting Event,0.6485969424247742,Walking Tour,0.8846822381019592,25126,41.7970523,0.5680948000000399
36,36,"Almería, Spain",Marcha ciclista,Marcha ciclista para promocionar los carriles bici del municipio,Cultural/Sporting Event,0.753491222858429,Cycling Event,0.9962090253829956,200000,36.834047,-2.4637136
37,37,"Altafulla, Spain",Presentació senyalització Camins escolars,"S'ha realitzat un disseny en forma de ""línies de metro"" que uneixen els centres educatius del municipi amb altres punts de referència com el passeig de Botigues de Mar o la plaça del Pou on hi ha l'ajuntament i s'hi indica el temps aproximat de recorregut a peu entre els diferents punts per afavorir la mobilitat sostenible. Aquesta senyalització es donarà a conèixer durant la setmana de la mobilitat.",Cultural/Sporting Event,0.4321826100349426,Walking Tour,0.7882089614868164,5800,41.1408587,1.3776889
38,38,"Altafulla, Spain",Presentació de l'avantprojecte de Remodelació de la Plaça Portalada,Durant el curs anterior s'ha dut a terme un procés participatiu perquè els alumnes de l'escola la Portalada fessin propostes de remodelació de part de la plaça que hi ha davant l'escola. Aquesta plaça estava destinada a aparcament i el curs passat se'n va tancar la meitat per fer-ne un espai sense cotxes a l'entrada de l'escola i que en poguessin gaudir els alumnes i les famílies (una de les mesures permanents que es va dur a terme la setmana de la mobilitat de l'any passat). A partir de les propostes presentades els serveis tècnics municipals han elaborat un avantprojecte de remodelació que es presentarà durant la setmana de la mobilitat,Cultural/Sporting Event,0.2949744164943695,Walking Tour,0.598359227180481,5800,41.1408587,1.3776889
39,39,"Alzira, Spain",Mesa redonda sobre movilidad:  Moverse por la ciudad en tiempos  de emergencia climática,"Mesa redonda sobre movilidad:  Moverse por la ciudad en tiempos  de emergencia climática
(9-11 horas)",Cultural/Sporting Event,0.4086731374263763,Walking Tour,0.6215366125106812,46421,39.1511854,-0.4333643
40,40,"Amer, Spain",A l'escola a peu!,"Per la sensibilització i conscienciació ciutadana sobre els valors de la mobilitat sostenible, saludable i segura, a l'escola a peu!",Cultural/Sporting Event,0.7288779020309448,Walking Tour,0.8696046471595764,2466,42.0104174,2.6028036
41,41,"Ames, Spain",Marcha ciclista nocturna,"Ruta de 8km de longitud de fácil recorrido, ya que es una actividad pensada para disfrutar en familia.",Cultural/Sporting Event,0.594738245010376,Cycling Event,0.9510422945022584,32190,42.9038027,-8.658367699999985
42,42,"Ames, Spain",Xogos en bici,"Juegos populares en bici.
Se desarrolla en un circuito cerrado donde las monitoras proponen juegos tradicionales adaptados a la bicicleta.
Actividad para niños  y niñas desde 4 a 12 años",Cultural/Sporting Event,0.6476275324821472,Cycling Event,0.5624631643295288,32190,42.9038027,-8.658367699999985
43,43,"Ames, Spain",DJ,"Una vez terminada la actividad ""Xogos en bici"" actuará un DJ",Cultural/Sporting Event,0.63358473777771,Cycling Event,0.931590497493744,32190,42.9038027,-8.658367699999985
44,44,"Ames, Spain",Andaina O Milladoiro Bertamiráns,Caminata de 10 km aprox. pola senda verde que une los dos núcleos urbanos de Ames,Cultural/Sporting Event,0.6799628734588623,Walking Tour,0.8749892115592957,32190,42.9038027,-8.658367699999985
45,45,"Amposta, Spain",Activitats a les Escoles de la Població,No description available,Cultural/Sporting Event,0.4070647954940796,Walking Tour,0.4414162635803222,21317,40.7067997,0.5801695
46,46,"Argentona, Spain",Xerrada sobre la mobilitat elèctrica a càrrec de la cooperativa SOMMOBILITAT,No description available,Conference,0.3811588585376739,General Audience,0.6196478009223938,12295,41.5531639,2.4008466000000226
47,47,"Arroyo del Ojanco, Spain",taller movilidad sostenible,No description available,Conference,0.4845495522022247,Professionals/Policymakers,0.4491297602653503,2288,38.3218279,-2.893882
48,48,"Artesa de Lleida, Spain",activitats de civismes amb la conduccio,activitat de per nens i nenes de circulació amb  bicicleta  fen un circuit,Cultural/Sporting Event,0.7640173435211182,Cycling Event,0.9585009813308716,1534,41.553054,0.7033745
49,49,"Ascó, Spain",Caminada per una movilitat sostenible,"A peu, les persones d'Ascó es desplaçaran a l'embarcador de Vinebre per gaudir d'una jornada matinal saludable i sostenible. Es tracta d'un recorregut d'uns 5 km anar i 5 km tornar, on es combina tram urbà amb tram rural.",Cultural/Sporting Event,0.8246973752975464,Walking Tour,0.9771703481674194,1682,41.1827575,0.5671571
50,50,"Badalona, Spain",Actividades varias encaminadas a la promoción del transporte sostenible,"dia 15/09/24: Pedalada popular, amb recorregut dinàmic entre el Parc de Montigalà i el passeig Marítim.",Cultural/Sporting Event,0.5511530637741089,Cycling Event,0.9485066533088684,224301,41.4469883,2.2450325
51,51,"Badalona, Spain",Treballem la mobilitat sostenible a les biblioteques,"16/09/24: A totes les biblioteques de la ciutat, ""Treballem la mobilitat sostenible a través d'un conte i el Gran Joc de l'Oca de la Mobilitat Sostenible""",Cultural/Sporting Event,0.7277448177337646,Walking Tour,0.5954535603523254,224301,41.4469883,2.2450325
52,52,"Badalona, Spain",Dia sense cotxes,"Múltiples activitats educatives, moltes adreçades a públic infantil, i informatives, amb la col·laboració de moltes entitats compromeses amb la mobilitat sostenible.",Cultural/Sporting Event,0.510930597782135,Walking Tour,0.6542636752128601,224301,41.4469883,2.2450325
53,53,"Badalona, Spain",Parc de Trànsit,Aprenem a circular i compartir espai públic de la mà del Servei Català de Trànsit,Exhibition,0.4219520092010498,,,224301,41.4469883,2.2450325
54,54,"Bagà, Spain",activitats sobre rodes,durant la setmana es duran a terme activitats sobre rodes a l'escola tan a dins horari lectiu con a les sortides i entrades.,Cultural/Sporting Event,0.5700015425682068,Walking Tour,0.5405213832855225,2299,42.25262,1.861711
55,55,"Bagà, Spain",caminada sostenible,caminada saludable sostenible pels voltants del municipi,Cultural/Sporting Event,0.6295874714851379,Walking Tour,0.8830974698066711,2299,42.25262,1.861711
56,56,"Baix Pallars, Spain",Caminada pels voltants de l'Estany de Montcortès,"Caminada pels voltants de l'Estany de Montcortès, aprofitant la recuperació del camí vell.",Cultural/Sporting Event,0.542071521282196,Walking Tour,0.949376940727234,115,42.3234025,1.0643223
57,57,"Balaguer, Spain",festa de la bicicleta 2024,sortida familiar per la promoción de la bici como medio de transporte sostenible,Exhibition,0.439018040895462,,,16485,41.7900026,0.8064472
58,58,"Balsareny, Spain",CYCLING,No description available,Cultural/Sporting Event,0.3940148651599884,Cycling Event,0.7832954525947571,3306,41.86345619999999,1.8745219
59,59,"Balsareny, Spain",CYCLING,No description available,Cultural/Sporting Event,0.3940148651599884,Cycling Event,0.7832954525947571,3306,41.86345619999999,1.8745219
60,60,"Banyoles, Spain",BICIBARRIS,"Dissabte 14
Ruta en bici pels barris de Banyoles apta per a totes les edats. Hi haurà animació i refrigeri.
10h Sortida Pl. Major",Cultural/Sporting Event,0.409991055727005,Cycling Event,0.9821341633796692,20100,42.1164301,2.7637207
61,61,"Banyoles, Spain",EL BUS A DEBAT,"Dimecres 18
Taula rodona sobre el transport públic al Pla de l’Estany 
18,30h Museu Darder",Conference,0.3548291325569153,General Audience,0.7436780333518982,20100,42.1164301,2.7637207
62,62,"Banyoles, Spain",FEM BICIBÚS,"Divendres 20
Rutes de Bicibús fins a la Pl. Major. Hi haurà activitats i gelat per als participants.
16,30h Sortida des de les escoles de Banyoles i Porqueres.",Cultural/Sporting Event,0.3928343057632446,Cycling Event,0.8608358502388,20100,42.1164301,2.7637207
63,63,"Banyoles, Spain",FIRA DE MOBILITAT SOSTENIBLE I SOCIAL,"Dissabte 21
Presentació i demostracions de projectes que sumen benestar i mobilitat sostenible: 
-	Tàndems per a invidents
-	Bicis sense edat
-	Som Mobilitat
-	Tren Tram 
-	Itineraris viscuts
-	Bicis per a tothom
11h - 13h Museu Darder i Pl. Servites  

COM HAS VINGUT?
Estadística de mobilitat i càlcul d’emissions de CO2 a la Festa d’Inici de Temporada de T Tela Banyoles. 
16h a 19h Parc Manel Saderra (Pla de l’Ametller)",Exhibition,0.4677075445652008,,,20100,42.1164301,2.7637207
64,64,"Banyoles, Spain",VOLTA A L’ESTANY EN BICI,"Diumenge 22 
Parades amb accions naturalistes, en el marc del 20è Dia de l’Estany.
09,30h Sortida Escola de Natura",Cultural/Sporting Event,0.6832212209701538,Cycling Event,0.9775969386100768,20100,42.1164301,2.7637207
65,65,"Banyoles, Spain",INICI ACTIVITATS ALS CENTRES EDUCATIUS,"Dilluns 23
Circuit d’educació viària a 1r ESO a càrrec de la Policia Local.",Cultural/Sporting Event,0.4760265648365021,Cycling Event,0.5203723311424255,20100,42.1164301,2.7637207
66,66,"Barakaldo, Spain",Mercado de segunda mano de bicicletas y movilidad sostenible,"Barakaldoko Udalak, aurtengo ""Espazio Publiko Partekatua"" gaiarekin bat eginez, eta partekatutako espazio publikoa mugikortasun aktiboaren bultzatzaile gisa ulertuz mugikortasun aktiboa sustatzeko ekintza bat antolatuko du. Alde batetik, Barakaldoko Minutuko Mapa-ren aurkezpenaren bidez, hiriaren ibilerraztasuna azpimarratuko da, eta, bestetik, mikromugikortasuna bultzatuko da, bigarren eskuko bizikleten merkatu bat eginez. Merkatu horretan herritar guztiek parte hartu ahal izango dute, edo objektuak emanez edo eskuratuz, modalitate aldaketa posibilitate erreal bat izan dadin.
Ekintza irailaren 21ean ospatuko da Anaien Parkearen plazan 8:30-14:45 etara. ¡Txandakatu eta mugitu!""

El Ayuntamiento de Barakaldo sumandose al tema de este año de “Espacio Público Compartido” organizará una acción de promoción del espacio público compartido como impulsora de la movilidad activa en sus diferentes modalidades. Así por un lado mediante la presentación del Mapa minuto de Barakaldo se subrayará la caminabilidad de la ciudad, y por otro se potenciará la micromovilidad mediante la celebración de un Mercado de biciclets de segunda mano, en la que podrá participar toda la ciudadanía, o bien aportando objetos o adquiriendolos para hacer lealidad el cambio modal. 
La accion se llevará a cabo el día 21 de septiembre de 8:30-14:45 h en el Parque de los Hermanos ""¡Combina y muévete!""",Exhibition,0.3077863752841949,,,101582,43.2970409,-2.9850739
67,67,"Barakaldo, Spain",Impulsando la movilidad activa: Metro Minuto de Barakaldo,"El Metrominuto de Barakaldo es un mapa sinóptico que mide distancias y tiempos caminando entre unos cuantos puntos de cada ciudad. Tiene los códigos visuales de los mapas de metro, como un guiño a uno de los modos de transporte significativos de las grandes urbes.

La iniciativa consiste en la creación de un mapa esquemático que representa las principales centralidades de cada ciudad (servicios, plazas, parques, centros de barrio…) y la distancia entre ellas, expresada en metros y en minutos.

Su finalidad es desdramatizar la cultura del caminar, poniendo en evidencia la proximidad entre lugares reconocibles de la ciudad. Al tratarse de distancias cortas y tiempos breves, nos predisponemos mejor a caminar hasta nuestro destino, eligiendo el medio pedestre para nuestros desplazamientos.

Con este proyecto se pretende además resaltar la importancia de ir construyendo ciudades compactas, densas y diversificadas, donde las necesidades de la vida cotidiana pueden resolverse en trayectos de diez o quince minutos a pie, lo que nos permite hacer realidad la famosa teoría de la “ciudad del cuarto de hora”, que sería la distancia a la que tenemos los principales destinos o paradas de transporte público que necesitamos para nuestra vida cotidiana.",Cultural/Sporting Event,0.3392882943153381,Walking Tour,0.505700409412384,101582,43.2970409,-2.9850739
68,68,"Barañáin, Spain",Charlas escolares,Clases de Educación Vial en colegios,Conference,0.5153712630271912,Children/Schools,0.9426504373550416,20000,42.8041023,-1.6846077
69,69,"Barañáin, Spain",Campaña informativa,Campaña informativa y de control en carriles bici,Conference,0.2871164977550506,General Audience,0.6405633687973022,20000,42.8041023,-1.6846077
70,70,"Barcelona, Spain",XXI Cursa de Transports Urbana de Barcelona,"Curses entre diferents modes de mobilitat per veure no només el mode més ràpid sinó també el més sostenible o el més econòmic.
""Inici: Ciutat Meridiana
Final cursa Parc de la Ciutadella.""
 de 19 h a 20.30 h
Cal inscripció prèvia a https://transportpublic.org/",Cultural/Sporting Event,0.4239011108875274,Walking Tour,0.3980520069599151,1636732,41.3873974,2.168568
71,71,"Barcelona, Spain",Mobilitat i transport per carretera: com es contempla al nou codi d’accessibilitat?,"Ponència a sobre com contempla el Nou Codi d’accessibilitat català, el Decret 209/2023 la mobilitat i el transport per carretera.
Online a traves de la plataforma Zoom amb subtitulació en directe.
 de 17.00 a 19.00h
Gratuïta i amb inscripció prèvia. Més informació: ngarberi@ecom.cat
 https://forms.office.com/e/mzWQNLX2Ht",Exhibition,0.388922780752182,,,1636732,41.3873974,2.168568
72,72,"Barcelona, Spain",Dret a la Mobilitat Sostenible i Accessible: eines per la denúncia efectiva.,"Taller per seguir avançant cap a la mobilitat sostenible i defensar el dret de tothom a poder fer servir el transport públic. 
Online a traves de la plataforma Zoom amb subtitulació en directe.
de 17.00 a 19.00h 
Gratuïta i amb inscripció prèvia. Més informació: ngarberi@ecom.cat
 https://forms.office.com/e/mzWQNLX2Ht",Exhibition,0.4173507392406463,,,1636732,41.3873974,2.168568
73,73,"Barcelona, Spain",Caminada a l'Àrea Metropolitana 08/09/2024,"Caminada a l’Àrea Metrop., sortida de Barcelona i arribada a Badalona (10 quilòmetres) 
Lloc de sortida i d’arribada:  Parc Trinitat Vella (Metro Trinitat Vella - L 1). 
""Itinerari: Parc Trinitat Vella, pg. Santa Coloma, pont de Santa Coloma, pg. Llorenç Serra, pl. de la Vila (Santa Coloma), pg. Sant Sebastià, jardí de la Figuera, c. Verdi, c. Mendelsshon, c. List, rambla de Sant Joan, parc de Montigalà, c. Sant Jeroni de la Murtra, c. Campoamor, c. Ciència, c. Filosofia, av. Martí Pujol, c. Riera de Canyet, camí ca l’Amigó, camí del Monestir, (control de pas i avituallament), Sant Jeroni de la Murtra, coll de les Ermites, av. Ramon Berenguer IV, av. Pallaresa,  pg. Salzereda, pont de Santa Coloma, pg. Santa Coloma i parc de la Trinitat Vella.
de 9.00 a 13.00 h
""Està senyalitzada, té un equip escombra que tanca el circuit, i és gratuïta, només cal tenir el carnet del Barnatresc. Oberta a qualsevol tipus de participant.
Punt de control i d’avituallament: Rodalies del monestir de Sant Jeroni de la Murtra. 
Horari del control i avituallament: de 10 a 11 h.
Longitud aproximada: 12,7 km  aproximadament. 
Durada aproximada:  4.00 hores aproximadament
Desnivells acumulats: de pujada 355 m i de baixada 355 m.",Cultural/Sporting Event,0.3571476638317108,Walking Tour,0.6485599875450134,1636732,41.3873974,2.168568
74,74,"Barcelona, Spain","Entrega a domicili de la teva cistella de productes locals en bicicleta, amb descompte. Portes Obertes als Ruscs","""Es potenciarà l'entrega a domicili en bicicleta de les comandes, amb un descompte en el preu del servei.
A més es podran degustar productes i participar a les Portes Obertes als Ruscs o punts de recollida de comandes de Barcelona. ""
En funció de cada Rusc, a les tardes, de 18 a 19:30h.
Cal inscripció prèvia a El Rusc Que Diu Sí!  https://lacolmenaquedicesi.es/ca",Cultural/Sporting Event,0.396245390176773,Cycling Event,0.4741503596305847,1636732,41.3873974,2.168568
75,75,"Barcelona, Spain",Bicicletada,"Bicicletada amb sortida i arribada a la seu d'UGT de 10h a 13h
De rambla Raval 29 a plaça Universitat, plaça Espanya, Paral•lel fins plaça de les Drassanes i tornada a la seu
Muntarem una caseta d'avituallament a la sortida i a l'arribada. Farem un recorregut ja descrit de 7.25 km.",Cultural/Sporting Event,0.3368334770202636,Cycling Event,0.993442714214325,1636732,41.3873974,2.168568
76,76,"Barcelona, Spain",Cotxets day,"Passejada amb  infants a peu i cotxets i calcurarem quants cotxets es  poden ""aparcar"" en el lloc d´un cotxe.
Parc de la Ciutadella a 11:00 hrs",Cultural/Sporting Event,0.5525659918785095,Walking Tour,0.9640933275222778,1636732,41.3873974,2.168568
77,77,"Barcelona, Spain",Circuit d'habilitat en bicicleta (7-12 anys) + Punt ITB (inspecció de la bicicleta),"Circuit infantil amb bicicleta a la Plaça del Comerç per a la promoció de la mobilitat sostenible on infants han de superar proves d'habilitat. Al costat hi haurà un  punt d'Inspecció Tècnica de Bicicletes (ITB) per revisar i diagnosticar, de forma gratuïta, les bicicletes.
Plaça Comercial (costat El Born Centre Cultural) de 15:00h a 19:45h (obertura públic de 16:00h a 19:00h)
 L'activitat oberta al públic infantil es faria entre les 16:00h i les 19:00h del dimecres 18 de setembre de 2024.",Cultural/Sporting Event,0.3904421627521515,Cycling Event,0.8346003890037537,1636732,41.3873974,2.168568
78,78,"Barcelona, Spain",Roda pel canvi,"L'objectiu és conscienciar la comunitat sobre els beneficis de l'ús de la bicicleta, no només com a mitjà ecològic i eficient sinó també com a una forma de vida saludable i responsable.
a Enric Granados 21 de De 14 a 20 h",Cultural/Sporting Event,0.6239833235740662,Cycling Event,0.7880823016166687,1636732,41.3873974,2.168568
