Unnamed: 0,city,activity_name,activity_description,ID,prompt
28,"Alguaire, Spain",PEDALADA PUPULAR,"Pedalada popular el dissabte dia 28 de setembre durant el matí.
Activitat familiar organitzada pel Club Ciclista Alguaire",28,"This is an event called 'Popular pedalada', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Popular pedal on Saturday, September 28 during the morning.
Family activity organized by the Alguaire Cycling Club'"
29,"Alicante, Spain",Taller reparación bicicletas,"Durante los cinco días laborales de la SEM se instalará, en una plaza diferente cada día, dos carpas de dimensiones 3 x 3 m para albergar un taller para asesorar y reparar bicicletas. El taller estará abierto al público de 9:00 h a 14:00 h y de 17:00 h a 20:00 h. El taller dispondrá de un mecánico de bicicletas con experiencia.",29,"This is an event called 'Bicycle repair workshop', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'During the five working days of the SEM, two tents of 3 x 3 m dimensions will be installed in a different place to house a workshop to advise and repair bicycles.The workshop will be open to the public from 9:00 a.m. to 2:00 p.m. and from 5:00 p.m. to 8:00 p.m.The workshop will have an experienced bicycle mechanic.'"
30,"Alicante, Spain",Biciregistro,"El Biciregistro es un sistema informativo nacional de registro de bicicletas, propiedad de la Red de Ciudades por la Bicicleta. Se regalarán 100 kits de Biciregistro.",30,"This is an event called 'Billing record', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'The Biciregistro is a National Information System of Bicycle Registration, owned by the cities network by the bicycle.100 Biciregistro Kits will be given.'"
31,"Alicante, Spain",Taller de conducción de patinetes eléctricos,"Se impartirá un taller de conducción de patinetes eléctricos, con cinco jornadas, durante los cinco días laborables de la SEM, con una duración de tres horas cada jornada, en horario de 17:00 a 20:00 horas. El taller estará compuesto por una parte teórica de una hora y una parte práctica de dos horas.",31,"This is an event called 'Electric Sick Conduction Workshop', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'An electric scooter driving workshop will be taught, with five days, during the five working days of the SEM, with a duration of three hours each day, from 5:00 p.m. to 8:00 p.m.The workshop will be composed of a theoretical part of an hour and a practical part of two hours.'"
32,"Alicante, Spain",Yincana Torres de la Huerta,"Se trata de una actividad familiar y se desarrollará en la zona de las Torres de la Huerta, con una duración de cuatro horas. Se trata de un juego, haciendo pequeñas pruebas de habilidad en las diferentes torres de la zona. Los participantes van de una torre a otra en bicicleta y vehículo de movilidad personal.",32,"This is an event called 'Yincana Torres de la Huerta', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'It is a family activity and will take place in the area of ​​the Torres de la Huerta, with a duration of four hours.It is a game, making small skill tests in the different towers of the area.Participants go from one tower to another by bicycle and personal mobility vehicle.'"
33,"Alicante, Spain",Ciclovía Litoral,"Consiste en cortar al tráfico general y habilitar para la circulación de bicicletas y vehículos de movilidad personal el tramo que discurre desde la Plaza Puerta del Mar hasta el cambio de sentido de la Rocafel-Adoc (en la Avda. Villajoyosa). Se trata de una actividad para la promoción de la bicicleta y el resto de la movilidad sostenible, no es competición, es una paseo ciclista, una actividad familiar.",33,"This is an event called 'Cycle coast', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'It consists of cutting the general traffic and enabling for the circulation of bicycles and personal mobility vehicles the section that runs from the Plaza Puerta del Mar to the change of direction of the Rocafel-Adoc (in Avda. Villajoyosa).It is an activity for the promotion of the bicycle and the rest of sustainable mobility, it is not a competition, it is a cycling walk, a family activity.'"
34,"Almatret, Spain",Cursa els Tossals,Cursa i caminada pels tossals d'Almatret,34,"This is an event called 'Race the hills', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Race and hike by the Tossals of Almatret'"
35,"Almenar, Spain",Caminata popular,No description available,35,"This is an event called 'Popular walk', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"
36,"Almería, Spain",Marcha ciclista,Marcha ciclista para promocionar los carriles bici del municipio,36,"This is an event called 'Cycling march', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Cyclist march to promote the bike lanes of the municipality'"
37,"Altafulla, Spain",Presentació senyalització Camins escolars,"S'ha realitzat un disseny en forma de ""línies de metro"" que uneixen els centres educatius del municipi amb altres punts de referència com el passeig de Botigues de Mar o la plaça del Pou on hi ha l'ajuntament i s'hi indica el temps aproximat de recorregut a peu entre els diferents punts per afavorir la mobilitat sostenible. Aquesta senyalització es donarà a conèixer durant la setmana de la mobilitat.",37,"This is an event called 'Presentation Signaling SCHOOL CAMINS', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'A design in the form of a ""metro lines"" that connect the educational centers of the municipality with other reference points such as the Paseo de Shops of Mar or the Plaza del Pou where the Town Hall is joined and indicates theApproximately walking time between the different points to encourage sustainable mobility.This signaling will be announced during Mobility Week.'"
38,"Altafulla, Spain",Presentació de l'avantprojecte de Remodelació de la Plaça Portalada,Durant el curs anterior s'ha dut a terme un procés participatiu perquè els alumnes de l'escola la Portalada fessin propostes de remodelació de part de la plaça que hi ha davant l'escola. Aquesta plaça estava destinada a aparcament i el curs passat se'n va tancar la meitat per fer-ne un espai sense cotxes a l'entrada de l'escola i que en poguessin gaudir els alumnes i les famílies (una de les mesures permanents que es va dur a terme la setmana de la mobilitat de l'any passat). A partir de les propostes presentades els serveis tècnics municipals han elaborat un avantprojecte de remodelació que es presentarà durant la setmana de la mobilitat,38,"This is an event called 'Presentation of the draft remodeling of the Portalada Square', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'During the previous year, a participatory process was carried out so that the students of the La Portalada school make proposals for remodeling from the square in front of the school.This square was intended for parking and last year, half was closed to make a car without car at the entrance to the school and that students and families could enjoy it (one of the permanent measures thatLast year's Mobility Week was carried out).From the proposals presented, the Municipal Technical Services have prepared a draft remodeling that will be presented during Mobility Week'"
39,"Alzira, Spain",Mesa redonda sobre movilidad:  Moverse por la ciudad en tiempos  de emergencia climática,"Mesa redonda sobre movilidad:  Moverse por la ciudad en tiempos  de emergencia climática
(9-11 horas)",39,"This is an event called 'Round table on mobility: move around the city in times of climate emergency', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Round table on mobility: move around the city in times of climate emergency
(9-11 hours)'"
40,"Amer, Spain",A l'escola a peu!,"Per la sensibilització i conscienciació ciutadana sobre els valors de la mobilitat sostenible, saludable i segura, a l'escola a peu!",40,"This is an event called 'At school on foot!', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'For awareness and awareness of citizen awareness of the values ​​of sustainable, healthy and safe mobility, at school on foot!'"
41,"Ames, Spain",Marcha ciclista nocturna,"Ruta de 8km de longitud de fácil recorrido, ya que es una actividad pensada para disfrutar en familia.",41,"This is an event called 'Night cycling', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: '8km long route route, since it is an activity designed to enjoy family.'"
42,"Ames, Spain",Xogos en bici,"Juegos populares en bici.
Se desarrolla en un circuito cerrado donde las monitoras proponen juegos tradicionales adaptados a la bicicleta.
Actividad para niños  y niñas desde 4 a 12 años",42,"This is an event called 'Bike games', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Popular bike games.
It develops in a closed circuit where monitors propose traditional games adapted to the bicycle.
Activity for boys and girls from 4 to 12 years'"
43,"Ames, Spain",DJ,"Una vez terminada la actividad ""Xogos en bici"" actuará un DJ",43,"This is an event called 'DJ', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Once the activity ""Xogos in Bike"" is over, a DJ will perform'"
44,"Ames, Spain",Andaina O Milladoiro Bertamiráns,Caminata de 10 km aprox. pola senda verde que une los dos núcleos urbanos de Ames,44,"This is an event called 'Walk the Milladoiro Bertamiráns', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: '10 km Caminata approx.Green Pola that unites the urban nuclei of AMES'"
45,"Amposta, Spain",Activitats a les Escoles de la Població,No description available,45,"This is an event called 'Activities in population schools', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"
46,"Argentona, Spain",Xerrada sobre la mobilitat elèctrica a càrrec de la cooperativa SOMMOBILITAT,No description available,46,"This is an event called 'Talk on electric mobility by the Sommobility Cooperative', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"
47,"Arroyo del Ojanco, Spain",taller movilidad sostenible,No description available,47,"This is an event called 'Sustainable mobility workshop', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"
48,"Artesa de Lleida, Spain",activitats de civismes amb la conduccio,activitat de per nens i nenes de circulació amb  bicicleta  fen un circuit,48,"This is an event called 'civism activities with the conduct', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Activity for boys and girls with bicycle traffic on a circuit'"
49,"Ascó, Spain",Caminada per una movilitat sostenible,"A peu, les persones d'Ascó es desplaçaran a l'embarcador de Vinebre per gaudir d'una jornada matinal saludable i sostenible. Es tracta d'un recorregut d'uns 5 km anar i 5 km tornar, on es combina tram urbà amb tram rural.",49,"This is an event called 'Walk for sustainable mobility', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'On foot, the people of Ascó will travel to the Vinebre pier to enjoy a healthy and sustainable morning.It is a route of about 5 km go and 5 km return, where it combines urban section with a rural section.'"
50,"Badalona, Spain",Actividades varias encaminadas a la promoción del transporte sostenible,"dia 15/09/24: Pedalada popular, amb recorregut dinàmic entre el Parc de Montigalà i el passeig Marítim.",50,"This is an event called 'Various activities aimed at promoting sustainable transport', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Day 15/09/24: Popular pedal, with a dynamic route between the Parc de Montigalà and the Paseo Marítimo.'"
51,"Badalona, Spain",Treballem la mobilitat sostenible a les biblioteques,"16/09/24: A totes les biblioteques de la ciutat, ""Treballem la mobilitat sostenible a través d'un conte i el Gran Joc de l'Oca de la Mobilitat Sostenible""",51,"This is an event called 'We work on sustainable mobility in libraries', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: '9/16/24: In all libraries in the city, ""we work on sustainable mobility through a story and the great game of the goose of sustainable mobility""'"
52,"Badalona, Spain",Dia sense cotxes,"Múltiples activitats educatives, moltes adreçades a públic infantil, i informatives, amb la col·laboració de moltes entitats compromeses amb la mobilitat sostenible.",52,"This is an event called 'Day without cars', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Multiple educational activities, many aimed at children's audiences, and informatives, with the collaboration of many entities committed to sustainable mobility.'"
53,"Badalona, Spain",Parc de Trànsit,Aprenem a circular i compartir espai públic de la mà del Servei Català de Trànsit,53,"This is an event called 'Traffic park', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'We learn to circulate and share public space by the Catalan Traffic Service'"
54,"Bagà, Spain",activitats sobre rodes,durant la setmana es duran a terme activitats sobre rodes a l'escola tan a dins horari lectiu con a les sortides i entrades.,54,"This is an event called 'Activities on wheels', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'During the week, activities on wheels will be held at school so much within school hours at the outputs and entries.'"
55,"Bagà, Spain",caminada sostenible,caminada saludable sostenible pels voltants del municipi,55,"This is an event called 'sustainable hike', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'sustainable healthy hike around the municipality'"
56,"Baix Pallars, Spain",Caminada pels voltants de l'Estany de Montcortès,"Caminada pels voltants de l'Estany de Montcortès, aprofitant la recuperació del camí vell.",56,"This is an event called 'Walk around the Montcortès lake', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Walk around the Montcortès lake, taking advantage of the recovery of the old road.'"
57,"Balaguer, Spain",festa de la bicicleta 2024,sortida familiar per la promoción de la bici como medio de transporte sostenible,57,"This is an event called 'Bicycle party 2024', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Family Sorta per promotion of the bike as a means of sustainable transportation'"
58,"Balsareny, Spain",CYCLING,No description available,58,"This is an event called 'CYCLING', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"
59,"Balsareny, Spain",CYCLING,No description available,59,"This is an event called 'CYCLING', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"
60,"Banyoles, Spain",BICIBARRIS,"Dissabte 14
Ruta en bici pels barris de Banyoles apta per a totes les edats. Hi haurà animació i refrigeri.
10h Sortida Pl. Major",60,"This is an event called 'Bicibarris', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Saturday 14
Bike route through the neighborhoods of Banyoles suitable for all ages.There will be animation and refreshment.
10h Departure Pl.Most'"
61,"Banyoles, Spain",EL BUS A DEBAT,"Dimecres 18
Taula rodona sobre el transport públic al Pla de l’Estany 
18,30h Museu Darder",61,"This is an event called 'THE BUS TO DEBAT', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Wednesday 18
Round table on public transport in Pla de l'Estany 
18.30h Darder Museum'"
62,"Banyoles, Spain",FEM BICIBÚS,"Divendres 20
Rutes de Bicibús fins a la Pl. Major. Hi haurà activitats i gelat per als participants.
16,30h Sortida des de les escoles de Banyoles i Porqueres.",62,"This is an event called 'Bicibus fem', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Friday 20
Bicibus routes to Pl.Major.There will be activities and ice cream for participants.
16.30h Departure from the schools of Banyoles and Porqueres.'"
63,"Banyoles, Spain",FIRA DE MOBILITAT SOSTENIBLE I SOCIAL,"Dissabte 21
Presentació i demostracions de projectes que sumen benestar i mobilitat sostenible: 
-	Tàndems per a invidents
-	Bicis sense edat
-	Som Mobilitat
-	Tren Tram 
-	Itineraris viscuts
-	Bicis per a tothom
11h - 13h Museu Darder i Pl. Servites  

COM HAS VINGUT?
Estadística de mobilitat i càlcul d’emissions de CO2 a la Festa d’Inici de Temporada de T Tela Banyoles. 
16h a 19h Parc Manel Saderra (Pla de l’Ametller)",63,"This is an event called 'Sustainable and Social Mobility Fair', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Saturday 21
Presentation and demonstrations of projects that add well -being and sustainable mobility: 
- tandems for the blind
- Bikes without age
- We are mobility
- TRAM TRAIN 
- lived itineraries
- bikes for everyone
11am - 13h Darder Museum and Pl.Servit

How did you come?
Statistics of mobility and calculation of CO2 emissions at the start of the season of T season of Table Banyoles. 
16h to 19h Park Manel Saderra (Pla de l'Ametller)'"
64,"Banyoles, Spain",VOLTA A L’ESTANY EN BICI,"Diumenge 22 
Parades amb accions naturalistes, en el marc del 20è Dia de l’Estany.
09,30h Sortida Escola de Natura",64,"This is an event called 'Tour of the pond by bike', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Sunday 22 
Stops with naturalistic actions, within the framework of the 20th day of the pond.
09.30h Departure Nature School'"
65,"Banyoles, Spain",INICI ACTIVITATS ALS CENTRES EDUCATIUS,"Dilluns 23
Circuit d’educació viària a 1r ESO a càrrec de la Policia Local.",65,"This is an event called 'Start activities in schools', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Monday 23
Road education circuit in 1st ESO by the Local Police.'"
