ID,secondary_result,secondary_classification,secondary_score
278,"{'sequence': ""This is an event called 'Road safety workshops', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'On this occasion, the local police officers travel to the primary and secondary schools to provide training to the road safety students, the activity is carried out during school hours during the morning.'"", 'labels': ['This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.', 'This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.', 'This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.'], 'scores': [0.9333851933479309, 0.04557744413614273, 0.0210373867303133]}",Schools,0.9333851933479309
280,"{'sequence': ""This is an event called 'Road safety: One day with the elderly.', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'This activity aims to give mobility tools to the elderly.For this activity, the officers of the local police and the MEE Corps in collaboration with the Constantí Retirement Association is to the premises of the association located on Calle de la Coma 14 to offer users healthy tips and practicespromoting healthy and safer mobility.'"", 'labels': ['This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.', 'This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.', 'This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.'], 'scores': [0.48680728673934937, 0.35042741894721985, 0.1627652645111084]}",Drivers,0.48680728673934937
311,"{'sequence': ""This is an event called 'Lutagansa', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Route in Staants for Beginners'"", 'labels': ['This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.', 'This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.', 'This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.'], 'scores': [0.4016556143760681, 0.3028618097305298, 0.2954825460910797]}",Drivers,0.4016556143760681
329,"{'sequence': ""This is an event called 'Learning on safe mobility', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'The proposal of La Gincana is based on an active methodology in which students interspersing physical activity and an adaptation of the trivial, solves issues related to safe mobility in a municipal park.'"", 'labels': ['This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.', 'This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.', 'This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.'], 'scores': [0.4230427145957947, 0.28966861963272095, 0.2872886061668396]}",Schools,0.4230427145957947
338,"{'sequence': ""This is an event called 'ROAD AND GINCANA SAFETY CHILD CIRCUIT', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"", 'labels': ['This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.', 'This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.', 'This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.'], 'scores': [0.7365742325782776, 0.14116595685482025, 0.12225978821516037]}",Schools,0.7365742325782776
344,"{'sequence': ""This is an event called 'Mou-te bé! Play & learn', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'RACC Move well!It is a virtual environment that works aspects of mobility, the environment and civility.It is a material designed and developed to be worked on both at school (in mentoring or subject education for citizens) and home in the family.It is accompanied by a teaching guide for teachers and parents, to guide them in their use and also to offer alternative activities.The educational video is divided into three stages adapted to students of middle and upper cycle of primary school.\n\r\nThis activity will be provided by correspondence to all children from 6 to 12 years old in the municipality and to the Teresa Godo Domench school so that they can carry it through the corresponding links.'"", 'labels': ['This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.', 'This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.', 'This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.'], 'scores': [0.6741047501564026, 0.18087095022201538, 0.14502431452274323]}",Schools,0.6741047501564026
352,"{'sequence': ""This is an event called 'Activity in common with the Soleràs school', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"", 'labels': ['This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.', 'This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.', 'This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.'], 'scores': [0.6412149667739868, 0.19932834804058075, 0.15945671498775482]}",Schools,0.6412149667739868
401,"{'sequence': ""This is an event called 'Road Education Circuit', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Road education day with monitors.'"", 'labels': ['This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.', 'This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.', 'This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.'], 'scores': [0.6063099503517151, 0.2717761695384979, 0.12191388756036758]}",Drivers,0.6063099503517151
438,"{'sequence': ""This is an event called 'European Mobility Week in Ibiza', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Activities regarding mobility, children's workshops, road safety courses will be carried out.'"", 'labels': ['This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.', 'This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.', 'This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.'], 'scores': [0.753980815410614, 0.12908902764320374, 0.11693014949560165]}",Schools,0.753980815410614
443,"{'sequence': ""This is an event called 'Road safety', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"", 'labels': ['This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.', 'This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.', 'This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.'], 'scores': [0.5019497275352478, 0.3139759600162506, 0.18407432734966278]}",Drivers,0.5019497275352478
486,"{'sequence': ""This is an event called 'Workshops in schools and institute, safe mobility and scooter mobility', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"", 'labels': ['This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.', 'This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.', 'This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.'], 'scores': [0.6457986235618591, 0.27419963479042053, 0.08000168949365616]}",Schools,0.6457986235618591
487,"{'sequence': ""This is an event called 'Safe Bicycle Mobility Workshop in schools and high school', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"", 'labels': ['This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.', 'This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.', 'This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.'], 'scores': [0.645540714263916, 0.3429078459739685, 0.011551441624760628]}",Cyclists,0.645540714263916
509,"{'sequence': ""This is an event called 'Demonstrative measurements on the emission of polluting gases, tune-up and tire pressure in vehicles, carried out by a mobile unit.', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"", 'labels': ['This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.', 'This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.', 'This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.'], 'scores': [0.4018518924713135, 0.3605136573314667, 0.23763446509838104]}",Drivers,0.4018518924713135
510,"{'sequence': ""This is an event called '‘‘Chiquivolantes’’ (little steering wheel): car circuit and parking for children, to promote road safety.', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"", 'labels': ['This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.', 'This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.', 'This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.'], 'scores': [0.848132848739624, 0.1223640888929367, 0.029503019526600838]}",Schools,0.848132848739624
553,"{'sequence': ""This is an event called 'XXX VOPE EDUCATION CAMPAIGN', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Campaign in schools of the municipality (public, private and concerted) of road education and workshop of responsible driving in personal mobility vehicles.'"", 'labels': ['This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.', 'This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.', 'This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.'], 'scores': [0.7929246425628662, 0.14006301760673523, 0.06701237708330154]}",Drivers,0.7929246425628662
582,"{'sequence': ""This is an event called 'Painting Workshop: Tag Your Bike + Small Cyclists tool Box (5 to 10 years old)', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"", 'labels': ['This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.', 'This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.', 'This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.'], 'scores': [0.6418963670730591, 0.29073572158813477, 0.06736788898706436]}",Schools,0.6418963670730591
590,"{'sequence': ""This is an event called 'Vial education', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"", 'labels': ['This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.', 'This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.', 'This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.'], 'scores': [0.5103285312652588, 0.2653230130672455, 0.22434842586517334]}",Drivers,0.5103285312652588
605,"{'sequence': ""This is an event called 'MAPFRE Road Education Circuit', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Road Education Circuit, where training will be given for 5 days, in terms of road education, to the youth of the municipality.Subsequently, practice with shot vehicles.'"", 'labels': ['This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.', 'This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.', 'This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.'], 'scores': [0.5817905068397522, 0.31972435116767883, 0.09848514944314957]}",Schools,0.5817905068397522
622,"{'sequence': ""This is an event called '2nd edition Awareness Conference Schools', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"", 'labels': ['This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.', 'This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.', 'This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.'], 'scores': [0.6432696580886841, 0.2090109884738922, 0.1477193683385849]}",Schools,0.6432696580886841
630,"{'sequence': ""This is an event called 'Move safely', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'With the collaboration of the Local Police of the Municipality, we will organize the day for the good use of Vehicle Shipping vehicles mainly aimed at the general population and especially the youngest in the municipality.'"", 'labels': ['This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.', 'This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.', 'This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.'], 'scores': [0.5741117596626282, 0.3853798508644104, 0.04050839692354202]}",Schools,0.5741117596626282
636,"{'sequence': ""This is an event called 'Road circuit', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'The road circulation activity for primary education students of the school The PACS of the Penedès is an educational practice designed to teach them basic traffic and road safety standards.During this activity, children learn to identify traffic signs, cross the street safely, use pedestrians properly and understand the importance of respecting traffic standards.Often, simulated scenarios are used, such as traffic parks or interactive games, where students can practice what they learned in a controlled environment.The objective is to promote responsible and safe attitudes such as pedestrians, cyclists and future drivers.'"", 'labels': ['This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.', 'This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.', 'This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.'], 'scores': [0.9803691506385803, 0.016473542898893356, 0.0031573609448969364]}",Schools,0.9803691506385803
643,"{'sequence': ""This is an event called 'Learning Circuit', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Circuit with traffic signaling and manual expensive.'"", 'labels': ['This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.', 'This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.', 'This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.'], 'scores': [0.5893785953521729, 0.2205090969800949, 0.19011233747005463]}",Drivers,0.5893785953521729
644,"{'sequence': ""This is an event called 'Participatory workshops to prepare the active mobility map of Palau-solità i Plegamans', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"", 'labels': ['This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.', 'This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.', 'This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.'], 'scores': [0.3780069053173065, 0.3272955119609833, 0.2946975827217102]}",Drivers,0.3780069053173065
647,"{'sequence': ""This is an event called 'Efficient driving course for municipal staff', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Training Course to encourage efficient driving vehicles among municipal staff, with the aim of reducing fuel consumption and emssions.'"", 'labels': ['This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.', 'This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.', 'This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.'], 'scores': [0.5767869353294373, 0.26662421226501465, 0.15658880770206451]}",Drivers,0.5767869353294373
661,"{'sequence': ""This is an event called 'Bicycle day', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Road Training and Bicycle Safety Workshops.Cyclist routeCycling road circuit.'"", 'labels': ['This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.', 'This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.', 'This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.'], 'scores': [0.9468909502029419, 0.0318354107439518, 0.02127368561923504]}",Cyclists,0.9468909502029419
664,"{'sequence': ""This is an event called 'Bicycle and VMP Safe Circulation Courses', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'The purpose was that the participants acquire knowledge about circulation standards and the necessary skills to move by bicycle through the city safely.\r\nThey will be taught in schools in the municipality of Ponferrada, and in the afternoon to adult groups.'"", 'labels': ['This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.', 'This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.', 'This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.'], 'scores': [0.9691309928894043, 0.023893607780337334, 0.00697536813095212]}",Cyclists,0.9691309928894043
689,"{'sequence': ""This is an event called 'Street sport', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'The bases of the local sports clubs, carry out a training on the road of the main avenue of the town.\r\nOn Friday a portable circuit is mounted, where children between 4 and 8 years will receive a practical class on road education'"", 'labels': ['This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.', 'This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.', 'This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.'], 'scores': [0.9667056798934937, 0.021639812737703323, 0.011654525063931942]}",Schools,0.9667056798934937
703,"{'sequence': ""This is an event called 'Activities to work with school', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'In the school, road safety will work with a circuit where they will learn to move by bicycle respecting the road signals.'"", 'labels': ['This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.', 'This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.', 'This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.'], 'scores': [0.6287317872047424, 0.36846649646759033, 0.002801730530336499]}",Schools,0.6287317872047424
711,"{'sequence': ""This is an event called 'Training activity on the use of personal mobility vehicles', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Activity oriented to the drivers of personal mobility vehicles that use them to move to the institutes\r\nDistribution of the Flyer over good practices.\r\nPl.Prim/Llovera/Monterols 09/16/2024 12:30 to 14:00 h.\r\nC. Astorga/Mediterranean 09/16/2024 14:30 to 15:45 h.\r\nPl.Prim/Llovera/Monterols 09/17/2024 12:30 to 14:00 h.\r\nPl.Almoster 09/17/2024 14:30 to 15:45 h.\r\nPl.Oques 09/18/2024 14:30 to 15:45 h.\r\nC. Astorga/Mediterranean 09/19/2024 14:30 to 15:45 h.\r\nPl.Almoster 09/20/2024 14:30 to 15:45 h.'"", 'labels': ['This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.', 'This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.', 'This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.'], 'scores': [0.5686784386634827, 0.2872689962387085, 0.14405250549316406]}",Drivers,0.5686784386634827
718,"{'sequence': ""This is an event called 'Let's move down the street!', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'It will be organized one day, during the week, with the Municipal Police as an invigorator of the activity, where the children of the village will be invited to approach the new circuit painted on the asphalt (as fun and entertainment for the children), but they will be asked to come with a scooter or bicycle and the municipal police will teach them road education.In addition, parents will be distributed to parents about the benefits of biking.'"", 'labels': ['This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.', 'This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.', 'This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.'], 'scores': [0.8069842457771301, 0.17870140075683594, 0.014314324595034122]}",Cyclists,0.8069842457771301
740,"{'sequence': ""This is an event called 'Functional training', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Home: 19:00\r\nEnd: 20:00\r\nMeeting Point: South Africa Square'"", 'labels': ['This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.', 'This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.', 'This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.'], 'scores': [0.4440704882144928, 0.441105455160141, 0.1148240715265274]}",Drivers,0.4440704882144928
743,"{'sequence': ""This is an event called 'Functional training', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Home: 19:00\r\nEnd: 20:00\r\nMeeting point: Paseo Marítimo in front of Av. Legion Español'"", 'labels': ['This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.', 'This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.', 'This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.'], 'scores': [0.5229339599609375, 0.4105437695980072, 0.0665222629904747]}",Drivers,0.5229339599609375
746,"{'sequence': ""This is an event called 'Senderismo mindfulness', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Home: 19:00\r\nEnd: 20:00\r\nMeeting point: Paseo Marítimo in front of Av. Legion Español'"", 'labels': ['This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.', 'This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.', 'This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.'], 'scores': [0.47686949372291565, 0.37295395135879517, 0.15017656981945038]}",Drivers,0.47686949372291565
748,"{'sequence': ""This is an event called 'Informative talks, Activity Safe Road to school, circuits with sustainable vehicles, on foot and others ......', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"", 'labels': ['This road safety workshop is targeted at children or schools, aiming to teach traffic safety and traffic awareness from an early age.', 'This road safety workshop is designed for cyclists or alternative mobility users to improve their safety awareness and skills on the road.', 'This road safety workshop is directed at automobile drivers to enhance their knowledge of traffic laws and safe driving techniques.'], 'scores': [0.7246184945106506, 0.163893461227417, 0.11148806661367416]}",Schools,0.7246184945106506
