ID,city,activity_name,activity_description,primary_result,primary_classification,primary_score,secondary_result,secondary_classification,secondary_score
297,"Coripe, Spain",Medición de contaminación en  Coripe,"Taller informativo en el colegio, y medición d ela contaminación en varios sitios de la localidad","{'sequence': ""This is an event called 'Pollution measurement in Coripe', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Informative workshop at school, and pollution measurement in several locality sites'"", 'labels': ['This activity is a conference, workshop, talk, or public presentation focused on mobility or related topics, aiming to raise awareness, educate, or discuss mobility practices.', 'This activity is an exhibition, fair, or display related to mobility, such as showcasing new public transport fleets, alternative vehicles, or urban planning solutions.', 'This activity is a road safety course, driving workshop or road safety conference. It aims to educate participants on traffic safety and improve their driving or cycling skills.', 'This activity is a walking tour, guided tour, or organized walk', 'This activity is an inauguration or public presentation of new infrastructure, such as new bike lanes, pedestrian zones, or public spaces dedicated to sustainable mobility.', 'This activity is a Car-Free Day event that involves traffic closures or restrictions to promote the use of sustainable mobility options', 'This activity is a Parking Day event where road area or parking spaces are transformed or occupied to promote revitalization of urban space.', 'This activity is a cycling march or bicycle route, part of a broader effort to promote sustainable mobility and an active lifestyle.'], 'scores': [0.7494948506355286, 0.11060076951980591, 0.03452591598033905, 0.03009180538356304, 0.026078972965478897, 0.02417859435081482, 0.013892509043216705, 0.011136559769511223]}",Conference,0.7494948506355286,"{'sequence': ""This is an event called 'Pollution measurement in Coripe', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Informative workshop at school, and pollution measurement in several locality sites'"", 'labels': ['This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.'], 'scores': [0.5774055123329163, 0.2220267504453659, 0.20056778192520142]}",General Audience,0.5774055123329163
298,"Coripe, Spain",Uso de la bicicleta,"Niños y jóvenes van al colegio en bicicleta,","{'sequence': ""This is an event called 'Use of the bicycle', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Children and young people go to school by bicycle,'"", 'labels': ['This activity is an exhibition, fair, or display related to mobility, such as showcasing new public transport fleets, alternative vehicles, or urban planning solutions.', 'This activity is a conference, workshop, talk, or public presentation focused on mobility or related topics, aiming to raise awareness, educate, or discuss mobility practices.', 'This activity is a cycling march or bicycle route, part of a broader effort to promote sustainable mobility and an active lifestyle.', 'This activity is an inauguration or public presentation of new infrastructure, such as new bike lanes, pedestrian zones, or public spaces dedicated to sustainable mobility.', 'This activity is a road safety course, driving workshop or road safety conference. It aims to educate participants on traffic safety and improve their driving or cycling skills.', 'This activity is a Car-Free Day event that involves traffic closures or restrictions to promote the use of sustainable mobility options', 'This activity is a walking tour, guided tour, or organized walk', 'This activity is a Parking Day event where road area or parking spaces are transformed or occupied to promote revitalization of urban space.'], 'scores': [0.4250241816043854, 0.24826578795909882, 0.21693819761276245, 0.03372323885560036, 0.029874317348003387, 0.026370318606495857, 0.010008878074586391, 0.009795012883841991]}",Exhibition,0.4250241816043854,,,
299,"Cornellà de Llobregat, Spain",Festa de la mobilitat,Jornada festiva amb activitats lúdiques i informatives de promoció de mitjans de transport sostenibles.,"{'sequence': ""This is an event called 'Mobility party', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Festive day with leisure activities and informative activities for the promotion of sustainable means of transport.'"", 'labels': ['This activity is an exhibition, fair, or display related to mobility, such as showcasing new public transport fleets, alternative vehicles, or urban planning solutions.', 'This activity is a conference, workshop, talk, or public presentation focused on mobility or related topics, aiming to raise awareness, educate, or discuss mobility practices.', 'This activity is a walking tour, guided tour, or organized walk', 'This activity is an inauguration or public presentation of new infrastructure, such as new bike lanes, pedestrian zones, or public spaces dedicated to sustainable mobility.', 'This activity is a road safety course, driving workshop or road safety conference. It aims to educate participants on traffic safety and improve their driving or cycling skills.', 'This activity is a Car-Free Day event that involves traffic closures or restrictions to promote the use of sustainable mobility options', 'This activity is a cycling march or bicycle route, part of a broader effort to promote sustainable mobility and an active lifestyle.', 'This activity is a Parking Day event where road area or parking spaces are transformed or occupied to promote revitalization of urban space.'], 'scores': [0.6955584287643433, 0.11822140961885452, 0.06810804456472397, 0.03382264822721481, 0.027759699150919914, 0.027325890958309174, 0.016867654398083687, 0.012336170300841331]}",Exhibition,0.6955584287643433,,,
300,"Corvera de Asturias, Spain",CORVERA SIN!!,"EL ESPACIO PÚBLICO COMPARTIDO / L´ESPACIU PÚBLICU COMPARTÍU
Martes 17 de Septiembre
CEP DE CANCIENES (Recreo: 11H20 A 11H50)
CORVERA SIN!
10h: Cuentacuentos y mesa creativa de la que saldrá el CARTEL DE LAS JORNADAS DE CORVERA (Con alumnos de 6º)


Miércoles  18 de Septiembre
CEP DE LOS CAMPOS (Recreo: 11h40 a 12h10)
CORVERA SIN!
9h30: Cuentacuentos y mesa creativa en el CEP DE CANCIENES (Con alumnos de 5º y 6º)  de la que saldrá la Mascota de CORVERA SIN MI COCHE 

Jueves 19 de Septiembre
 CEP DE LES VEGUES (Recreo: 11h a 11h30)
CORVERA SIN!
 9H30 A 11H: Cuentacuentos y mesa creativa, de la que saldrá el MANIFIESTO ESPECÍFICO DE LAS JORNADAS DE CORVERA (Con alumnos de 6º)

Viernes 20 de Septiembre
PARQUE EUROPA; 
12h a 13h30: LECTURA DEL MANIFIESTO. ANIMACIÓN INFANTIL
Domingo 22 de Septiembre
CORVERA ENSIN EL MIO COCHE/CORVERA SIN MI COCHE
12h: Parque Europa (calle Rubén Darío a la altura del CEP LES VEGUES, cortada)
CORVERA ENSIN/SIN!! 
- Animación infantil!
- Actuación de TOTAL FREAK y de LA CARACOLA
- Ecodjs y Tdance pa los guajes/para los niños
- KARTS CÍVICOS","{'sequence': ""This is an event called 'Corvera without !!', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'The shared public space / l´espaciu publicu shared\r\nTuesday, September 17\r\nCancienes CEP (recreation: 11h20 to 11h50)\r\nCorvera without!\r\n10h: storytelling and creative table from which the poster of the Corvera Conference (with 6th students) will come out (with 6th students)\n\n\r\nWednesday, September 18\r\nCEP of the fields (recess: 11h40 to 12h10)\r\nCorvera without!\r\n9h30: storyteller and creative table in the CEP de Cancienes (with students of 5th and 6th) from which the Corvera pet will come out without my car\n\r\nThursday, September 19\r\nCEP DE LES VEGUES (recreation: 11h to 1130)\r\nCorvera without!\r\n9h30 to 11h: storyteller and creative table, from which the specific manifesto of the Corvera Conference (with students from 6th) will come out (with 6th)\n\r\nFriday, September 20\r\nEUROPE PARK; \r\n12h to 13h30: Reading of the manifesto.Children's animation\r\nSunday, September 22\r\nCorvera the Mio Car/Corvera without my car in my car\r\n12h: Europa Park (Rubén Darío Street at the height of CEP les vegues, cut)\r\nCorvera Ensin/Sin !! \r\n- Children's animation!\r\n- Acting of Total Freak and Caracola\r\n- Ecodjs and Tdance pa los guajes/for children\r\n- Civic Karts'"", 'labels': ['This activity is a Car-Free Day event that involves traffic closures or restrictions to promote the use of sustainable mobility options', 'This activity is an exhibition, fair, or display related to mobility, such as showcasing new public transport fleets, alternative vehicles, or urban planning solutions.', 'This activity is a conference, workshop, talk, or public presentation focused on mobility or related topics, aiming to raise awareness, educate, or discuss mobility practices.', 'This activity is an inauguration or public presentation of new infrastructure, such as new bike lanes, pedestrian zones, or public spaces dedicated to sustainable mobility.', 'This activity is a walking tour, guided tour, or organized walk', 'This activity is a road safety course, driving workshop or road safety conference. It aims to educate participants on traffic safety and improve their driving or cycling skills.', 'This activity is a cycling march or bicycle route, part of a broader effort to promote sustainable mobility and an active lifestyle.', 'This activity is a Parking Day event where road area or parking spaces are transformed or occupied to promote revitalization of urban space.'], 'scores': [0.2522836923599243, 0.22308899462223053, 0.19436265528202057, 0.15336757898330688, 0.05358951538801193, 0.04582645371556282, 0.0445382297039032, 0.032942820340394974]}",Car-Free Day,0.2522836923599243,,,
301,"Coslada, Spain","Charla-debate ‘Las ZBE: una oportunidad para las ciudades’,","El 19 de septiembre se celebrará la charla-debate ‘Las ZBE: una oportunidad para las ciudades’, con la ponencia del secretario general de Movilidad Sostenible, Álvaro Fernández Heredia; y la participación de la portavoz de Clean Cities y responsable de Transporte de Ecologistas en Acción, Carmen Duce; la concejala de Transición Ecológica, Movilidad y Transportes de Coslada Sonia Murillo; el portavoz del PSOE de Urbanismo, Medio Ambiente y Movilidad en el Ayuntamiento de Madrid, Antonio Giraldo; y Carolina Cordero, responsable de Relaciones Políticas y Convergencia de IU Madrid. La cita será a las 18.00 horas en el Espacio Nelken.","{'sequence': ""This is an event called 'Tarm-Debate ‘Las Zbe: An opportunity for cities’,', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'On September 19, the ‘Las Zbe talk will be held: an opportunity for cities’, with the presentation of the Secretary General of Sustainable Mobility, Álvaro Fernández Heredia;and the participation of the spokeswoman for Clean Cities and head of transport of Ecologists in Action, Carmen Duce;the Councilor for Ecological Transition, Mobility and Transportation of Coslada Sonia Murillo;the spokesman of the PSOE of Urbanism, Environment and Mobility in the City of Madrid, Antonio Giraldo;and Carolina Cordero, responsible for political relations and convergence of IU Madrid.The appointment will be at 6:00 p.m. in the Nelken space.'"", 'labels': ['This activity is a conference, workshop, talk, or public presentation focused on mobility or related topics, aiming to raise awareness, educate, or discuss mobility practices.', 'This activity is an exhibition, fair, or display related to mobility, such as showcasing new public transport fleets, alternative vehicles, or urban planning solutions.', 'This activity is a walking tour, guided tour, or organized walk', 'This activity is an inauguration or public presentation of new infrastructure, such as new bike lanes, pedestrian zones, or public spaces dedicated to sustainable mobility.', 'This activity is a Car-Free Day event that involves traffic closures or restrictions to promote the use of sustainable mobility options', 'This activity is a road safety course, driving workshop or road safety conference. It aims to educate participants on traffic safety and improve their driving or cycling skills.', 'This activity is a cycling march or bicycle route, part of a broader effort to promote sustainable mobility and an active lifestyle.', 'This activity is a Parking Day event where road area or parking spaces are transformed or occupied to promote revitalization of urban space.'], 'scores': [0.7497811317443848, 0.08143708854913712, 0.040280308574438095, 0.03925669938325882, 0.03139319270849228, 0.026404259726405144, 0.019429489970207214, 0.012017781846225262]}",Conference,0.7497811317443848,"{'sequence': ""This is an event called 'Tarm-Debate ‘Las Zbe: An opportunity for cities’,', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'On September 19, the ‘Las Zbe talk will be held: an opportunity for cities’, with the presentation of the Secretary General of Sustainable Mobility, Álvaro Fernández Heredia;and the participation of the spokeswoman for Clean Cities and head of transport of Ecologists in Action, Carmen Duce;the Councilor for Ecological Transition, Mobility and Transportation of Coslada Sonia Murillo;the spokesman of the PSOE of Urbanism, Environment and Mobility in the City of Madrid, Antonio Giraldo;and Carolina Cordero, responsible for political relations and convergence of IU Madrid.The appointment will be at 6:00 p.m. in the Nelken space.'"", 'labels': ['This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.', 'This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.'], 'scores': [0.5696015357971191, 0.3806464374065399, 0.04975203424692154]}",Professionals/Policymakers,0.5696015357971191
302,"Coslada, Spain",Bicicletada escolar,"Bicicletada escolar en la que participan los centros escolares María Moliner, Gonzalo de Berceo, Félix Rodríguez de la Fuente, Menéndez Pidal y Pablo Neruda, dentro del programa ‘Camino Escolar en Bici’","{'sequence': ""This is an event called 'School bike', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'School bike in which María Moliner schools, Gonzalo de Berceo, Félix Rodríguez de la Fuente, Menéndez Pidal and Pablo Neruda participate, within the program ‘School Road by Bike’'"", 'labels': ['This activity is an exhibition, fair, or display related to mobility, such as showcasing new public transport fleets, alternative vehicles, or urban planning solutions.', 'This activity is a cycling march or bicycle route, part of a broader effort to promote sustainable mobility and an active lifestyle.', 'This activity is a conference, workshop, talk, or public presentation focused on mobility or related topics, aiming to raise awareness, educate, or discuss mobility practices.', 'This activity is a road safety course, driving workshop or road safety conference. It aims to educate participants on traffic safety and improve their driving or cycling skills.', 'This activity is an inauguration or public presentation of new infrastructure, such as new bike lanes, pedestrian zones, or public spaces dedicated to sustainable mobility.', 'This activity is a Car-Free Day event that involves traffic closures or restrictions to promote the use of sustainable mobility options', 'This activity is a walking tour, guided tour, or organized walk', 'This activity is a Parking Day event where road area or parking spaces are transformed or occupied to promote revitalization of urban space.'], 'scores': [0.4699283540248871, 0.2518151104450226, 0.13361570239067078, 0.05969956889748573, 0.058424778282642365, 0.01948334276676178, 0.003988367039710283, 0.0030447193421423435]}",Exhibition,0.4699283540248871,,,
303,"Coslada, Spain",Circuito Cardiosaludable,Instalación de un Circuito Cardiosaludable en el Recinto Ferial de 10 a 13.00 horas.,"{'sequence': ""This is an event called 'Circuito Cardiosaludable', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Installation of a cardiosaludable circuit in the fairgrounds from 10 a.m. to 1:00 p.m.'"", 'labels': ['This activity is an exhibition, fair, or display related to mobility, such as showcasing new public transport fleets, alternative vehicles, or urban planning solutions.', 'This activity is an inauguration or public presentation of new infrastructure, such as new bike lanes, pedestrian zones, or public spaces dedicated to sustainable mobility.', 'This activity is a conference, workshop, talk, or public presentation focused on mobility or related topics, aiming to raise awareness, educate, or discuss mobility practices.', 'This activity is a Car-Free Day event that involves traffic closures or restrictions to promote the use of sustainable mobility options', 'This activity is a walking tour, guided tour, or organized walk', 'This activity is a road safety course, driving workshop or road safety conference. It aims to educate participants on traffic safety and improve their driving or cycling skills.', 'This activity is a cycling march or bicycle route, part of a broader effort to promote sustainable mobility and an active lifestyle.', 'This activity is a Parking Day event where road area or parking spaces are transformed or occupied to promote revitalization of urban space.'], 'scores': [0.4777188301086426, 0.23963722586631775, 0.07600605487823486, 0.06807561218738556, 0.05236538127064705, 0.04278205707669258, 0.03381472826004028, 0.009600105695426464]}",Exhibition,0.4777188301086426,,,
304,"Coslada, Spain",Curso para Aprender a montar en bici,No description available,"{'sequence': ""This is an event called 'Bike ride course course', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"", 'labels': ['This activity is a cycling march or bicycle route, part of a broader effort to promote sustainable mobility and an active lifestyle.', 'This activity is an exhibition, fair, or display related to mobility, such as showcasing new public transport fleets, alternative vehicles, or urban planning solutions.', 'This activity is a conference, workshop, talk, or public presentation focused on mobility or related topics, aiming to raise awareness, educate, or discuss mobility practices.', 'This activity is a road safety course, driving workshop or road safety conference. It aims to educate participants on traffic safety and improve their driving or cycling skills.', 'This activity is an inauguration or public presentation of new infrastructure, such as new bike lanes, pedestrian zones, or public spaces dedicated to sustainable mobility.', 'This activity is a Car-Free Day event that involves traffic closures or restrictions to promote the use of sustainable mobility options', 'This activity is a Parking Day event where road area or parking spaces are transformed or occupied to promote revitalization of urban space.', 'This activity is a walking tour, guided tour, or organized walk'], 'scores': [0.23479163646697998, 0.19560623168945312, 0.16875039041042328, 0.1413954794406891, 0.1394311934709549, 0.0695478767156601, 0.027712134644389153, 0.02276511862874031]}",Cycling Event,0.23479163646697998,,,
305,"Coslada, Spain",Biciencuentro,Marcha ciclista reivindicativa para mejorar la red de carriles bici,"{'sequence': ""This is an event called 'Biciencuentro', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Cyclist march claiming to improve the bike lanes network'"", 'labels': ['This activity is a cycling march or bicycle route, part of a broader effort to promote sustainable mobility and an active lifestyle.', 'This activity is an inauguration or public presentation of new infrastructure, such as new bike lanes, pedestrian zones, or public spaces dedicated to sustainable mobility.', 'This activity is an exhibition, fair, or display related to mobility, such as showcasing new public transport fleets, alternative vehicles, or urban planning solutions.', 'This activity is a conference, workshop, talk, or public presentation focused on mobility or related topics, aiming to raise awareness, educate, or discuss mobility practices.', 'This activity is a road safety course, driving workshop or road safety conference. It aims to educate participants on traffic safety and improve their driving or cycling skills.', 'This activity is a Car-Free Day event that involves traffic closures or restrictions to promote the use of sustainable mobility options', 'This activity is a walking tour, guided tour, or organized walk', 'This activity is a Parking Day event where road area or parking spaces are transformed or occupied to promote revitalization of urban space.'], 'scores': [0.7167838215827942, 0.11091203987598419, 0.09048482030630112, 0.04425431042909622, 0.012308294884860516, 0.011712739244103432, 0.009366377256810665, 0.004177610389888287]}",Cycling Event,0.7167838215827942,,,
306,"Cunit, Spain",Caminada popular,No description available,"{'sequence': ""This is an event called 'Popular hike', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"", 'labels': ['This activity is a walking tour, guided tour, or organized walk', 'This activity is an exhibition, fair, or display related to mobility, such as showcasing new public transport fleets, alternative vehicles, or urban planning solutions.', 'This activity is a conference, workshop, talk, or public presentation focused on mobility or related topics, aiming to raise awareness, educate, or discuss mobility practices.', 'This activity is an inauguration or public presentation of new infrastructure, such as new bike lanes, pedestrian zones, or public spaces dedicated to sustainable mobility.', 'This activity is a road safety course, driving workshop or road safety conference. It aims to educate participants on traffic safety and improve their driving or cycling skills.', 'This activity is a Car-Free Day event that involves traffic closures or restrictions to promote the use of sustainable mobility options', 'This activity is a Parking Day event where road area or parking spaces are transformed or occupied to promote revitalization of urban space.', 'This activity is a cycling march or bicycle route, part of a broader effort to promote sustainable mobility and an active lifestyle.'], 'scores': [0.3204716742038727, 0.2584686577320099, 0.17792034149169922, 0.10609840601682663, 0.04740492254495621, 0.04361703619360924, 0.02942534349858761, 0.016593674197793007]}",Walking Tour,0.3204716742038727,,,
307,"Cunit, Spain",Pedalada popular,No description available,"{'sequence': ""This is an event called 'Popular pedalada', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"", 'labels': ['This activity is an exhibition, fair, or display related to mobility, such as showcasing new public transport fleets, alternative vehicles, or urban planning solutions.', 'This activity is a cycling march or bicycle route, part of a broader effort to promote sustainable mobility and an active lifestyle.', 'This activity is a conference, workshop, talk, or public presentation focused on mobility or related topics, aiming to raise awareness, educate, or discuss mobility practices.', 'This activity is an inauguration or public presentation of new infrastructure, such as new bike lanes, pedestrian zones, or public spaces dedicated to sustainable mobility.', 'This activity is a Car-Free Day event that involves traffic closures or restrictions to promote the use of sustainable mobility options', 'This activity is a walking tour, guided tour, or organized walk', 'This activity is a road safety course, driving workshop or road safety conference. It aims to educate participants on traffic safety and improve their driving or cycling skills.', 'This activity is a Parking Day event where road area or parking spaces are transformed or occupied to promote revitalization of urban space.'], 'scores': [0.2851897180080414, 0.2684680223464966, 0.1466021090745926, 0.11478286981582642, 0.05751166492700577, 0.05573864281177521, 0.053761038929224014, 0.01794586144387722]}",Exhibition,0.2851897180080414,,,
308,"Daroca, Spain",SEMANA DE LA MOBILIDAD Y DIA DE LA BICICLETA,No description available,"{'sequence': ""This is an event called 'Mobility Week and Bicycle Day', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"", 'labels': ['This activity is an exhibition, fair, or display related to mobility, such as showcasing new public transport fleets, alternative vehicles, or urban planning solutions.', 'This activity is a cycling march or bicycle route, part of a broader effort to promote sustainable mobility and an active lifestyle.', 'This activity is a conference, workshop, talk, or public presentation focused on mobility or related topics, aiming to raise awareness, educate, or discuss mobility practices.', 'This activity is an inauguration or public presentation of new infrastructure, such as new bike lanes, pedestrian zones, or public spaces dedicated to sustainable mobility.', 'This activity is a Car-Free Day event that involves traffic closures or restrictions to promote the use of sustainable mobility options', 'This activity is a walking tour, guided tour, or organized walk', 'This activity is a road safety course, driving workshop or road safety conference. It aims to educate participants on traffic safety and improve their driving or cycling skills.', 'This activity is a Parking Day event where road area or parking spaces are transformed or occupied to promote revitalization of urban space.'], 'scores': [0.29177728295326233, 0.21678878366947174, 0.1621204912662506, 0.10842832922935486, 0.08422859013080597, 0.06634402275085449, 0.05009566619992256, 0.020216839388012886]}",Exhibition,0.29177728295326233,,,
309,"Don Benito, Spain",Marcha Ciclista,Actividad en la que colaboran todos los colegios del municipio. Gymkanas con juegos de Educación Vial donde los participantes podrán adquirir destrezas con vehículos sostenibles. Posteriormente se cerrará al tráfico el centro de la ciudad para que todos puedan disfrutar con seguridad de una marcha ciclista.,"{'sequence': ""This is an event called 'Cycling march', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Activity in which all the schools of the municipality collaborate.Gymkanas with road education games where participants can acquire skills with sustainable vehicles.Subsequently, the city center will be closed to traffic so that everyone can safely enjoy a cycling march.'"", 'labels': ['This activity is a Car-Free Day event that involves traffic closures or restrictions to promote the use of sustainable mobility options', 'This activity is a cycling march or bicycle route, part of a broader effort to promote sustainable mobility and an active lifestyle.', 'This activity is a road safety course, driving workshop or road safety conference. It aims to educate participants on traffic safety and improve their driving or cycling skills.', 'This activity is an exhibition, fair, or display related to mobility, such as showcasing new public transport fleets, alternative vehicles, or urban planning solutions.', 'This activity is a conference, workshop, talk, or public presentation focused on mobility or related topics, aiming to raise awareness, educate, or discuss mobility practices.', 'This activity is an inauguration or public presentation of new infrastructure, such as new bike lanes, pedestrian zones, or public spaces dedicated to sustainable mobility.', 'This activity is a Parking Day event where road area or parking spaces are transformed or occupied to promote revitalization of urban space.', 'This activity is a walking tour, guided tour, or organized walk'], 'scores': [0.46899017691612244, 0.37400388717651367, 0.07847963273525238, 0.025235554203391075, 0.024977724999189377, 0.01912543550133705, 0.005421303678303957, 0.003766336478292942]}",Car-Free Day,0.46899017691612244,,,
310,"Donostia-San Sebastián (Donostia-San Sebastian City Council)
, Spain",Rueda de prensa,Rueda de prensa en la que la concejal de movilidad presentará las actividades a llevar a cabo durante la semana.,"{'sequence': ""This is an event called 'News conference', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Press conference in which the Councilor for Mobility will present the activities to be carried out during the week.'"", 'labels': ['This activity is a conference, workshop, talk, or public presentation focused on mobility or related topics, aiming to raise awareness, educate, or discuss mobility practices.', 'This activity is an inauguration or public presentation of new infrastructure, such as new bike lanes, pedestrian zones, or public spaces dedicated to sustainable mobility.', 'This activity is an exhibition, fair, or display related to mobility, such as showcasing new public transport fleets, alternative vehicles, or urban planning solutions.', 'This activity is a road safety course, driving workshop or road safety conference. It aims to educate participants on traffic safety and improve their driving or cycling skills.', 'This activity is a walking tour, guided tour, or organized walk', 'This activity is a Parking Day event where road area or parking spaces are transformed or occupied to promote revitalization of urban space.', 'This activity is a cycling march or bicycle route, part of a broader effort to promote sustainable mobility and an active lifestyle.', 'This activity is a Car-Free Day event that involves traffic closures or restrictions to promote the use of sustainable mobility options'], 'scores': [0.7018357515335083, 0.10486651211977005, 0.05007866024971008, 0.03848925605416298, 0.03410059213638306, 0.026835056021809578, 0.023485718294978142, 0.02030843496322632]}",Conference,0.7018357515335083,"{'sequence': ""This is an event called 'News conference', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Press conference in which the Councilor for Mobility will present the activities to be carried out during the week.'"", 'labels': ['This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.'], 'scores': [0.5225562453269958, 0.40741389989852905, 0.0700298398733139]}",General Audience,0.5225562453269958
311,"Donostia-San Sebastián (Donostia-San Sebastian City Council)
, Spain",Ruta Gansa,Ruta en patines para principiantes,"{'sequence': ""This is an event called 'Lutagansa', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Route in Staants for Beginners'"", 'labels': ['This activity is an exhibition, fair, or display related to mobility, such as showcasing new public transport fleets, alternative vehicles, or urban planning solutions.', 'This activity is a conference, workshop, talk, or public presentation focused on mobility or related topics, aiming to raise awareness, educate, or discuss mobility practices.', 'This activity is a road safety course, driving workshop or road safety conference. It aims to educate participants on traffic safety and improve their driving or cycling skills.', 'This activity is a walking tour, guided tour, or organized walk', 'This activity is an inauguration or public presentation of new infrastructure, such as new bike lanes, pedestrian zones, or public spaces dedicated to sustainable mobility.', 'This activity is a cycling march or bicycle route, part of a broader effort to promote sustainable mobility and an active lifestyle.', 'This activity is a Car-Free Day event that involves traffic closures or restrictions to promote the use of sustainable mobility options', 'This activity is a Parking Day event where road area or parking spaces are transformed or occupied to promote revitalization of urban space.'], 'scores': [0.37796691060066223, 0.16354569792747498, 0.15705536305904388, 0.1179262176156044, 0.06301498413085938, 0.06036551669239998, 0.050328776240348816, 0.009796570055186749]}",Exhibition,0.37796691060066223,,,
312,"Donostia-San Sebastián (Donostia-San Sebastian City Council)
, Spain",Mujer y Movilidad resultados app,Presentación de los resultados de la app : Nos sentimos seguras cuándo nos movemos por Donostia?,"{'sequence': ""This is an event called 'WOMAN AND MOBILITY APP RESULTS', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Presentation of the results of the app: We feel safe when we move through Donostia?'"", 'labels': ['This activity is an exhibition, fair, or display related to mobility, such as showcasing new public transport fleets, alternative vehicles, or urban planning solutions.', 'This activity is a conference, workshop, talk, or public presentation focused on mobility or related topics, aiming to raise awareness, educate, or discuss mobility practices.', 'This activity is an inauguration or public presentation of new infrastructure, such as new bike lanes, pedestrian zones, or public spaces dedicated to sustainable mobility.', 'This activity is a walking tour, guided tour, or organized walk', 'This activity is a Car-Free Day event that involves traffic closures or restrictions to promote the use of sustainable mobility options', 'This activity is a road safety course, driving workshop or road safety conference. It aims to educate participants on traffic safety and improve their driving or cycling skills.', 'This activity is a Parking Day event where road area or parking spaces are transformed or occupied to promote revitalization of urban space.', 'This activity is a cycling march or bicycle route, part of a broader effort to promote sustainable mobility and an active lifestyle.'], 'scores': [0.589500367641449, 0.2911389470100403, 0.05490678548812866, 0.025256453081965446, 0.014167224988341331, 0.013850623741745949, 0.0060240719467401505, 0.00515558198094368]}",Exhibition,0.589500367641449,,,
