ID,secondary_result,secondary_classification,secondary_score,Professionals/Policymakers,General Audience,Children/Schools
58,"{'sequence': ""This is an event called 'CYCLING', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"", 'labels': ['This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.'], 'scores': [0.5156823992729187, 0.32630908489227295, 0.15800856053829193]}",General Audience,0.5156823992729187,0.32630908489227295,0.5156823992729187,0.15800856053829193
59,"{'sequence': ""This is an event called 'CYCLING', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"", 'labels': ['This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.'], 'scores': [0.5156823992729187, 0.32630908489227295, 0.15800856053829193]}",General Audience,0.5156823992729187,0.32630908489227295,0.5156823992729187,0.15800856053829193
61,"{'sequence': ""This is an event called 'THE BUS TO DEBAT', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Wednesday 18\r\nRound table on public transport in Pla de l'Estany \r\n18.30h Darder Museum'"", 'labels': ['This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.'], 'scores': [0.7436780333518982, 0.23153962194919586, 0.02478240430355072]}",General Audience,0.7436780333518982,0.23153962194919586,0.7436780333518982,0.02478240430355072
67,"{'sequence': 'This is an event called \'Promoting active mobility: Barakaldo Minute Metro\', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: \'Barakaldo\'s metominuto is a synoptic map that measures distances and times walking among a few points in each city.It has the visual codes of the subway maps, as a nod to one of the significant transport modes of large cities.\n\r\nThe initiative consists in the creation of a schematic map that represents the main centralities of each city (services, squares, parks, neighborhood centers ...) and the distance between them, expressed in meters and minutes.\n\r\nIts purpose is to deframatize the culture of walking, highlighting the proximity between recognizable places in the city.Being short distances and short times, we predispose better to walk to our destination, choosing the pedestrian medium for our displacements.\n\r\nThis project is also intended to highlight the importance of building compact, dense and diversified cities, where the needs of everyday life can be solved on tracks of ten or fifteen minutes on foot, which allows us to realize the famous theory of the ""City of the quarter hour ”, which would be the distance to which we have the main destinations or public transport stops that we need for our daily lives.\'', 'labels': ['This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.'], 'scores': [0.4900425672531128, 0.4335326850414276, 0.07642476260662079]}",General Audience,0.4900425672531128,0.4335326850414276,0.4900425672531128,0.07642476260662079
68,"{'sequence': ""This is an event called 'School talks', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Road education classes in schools'"", 'labels': ['This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.', 'This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.'], 'scores': [0.9426504373550415, 0.05042183771729469, 0.006927701644599438]}",Children/Schools,0.9426504373550416,0.006927701644599438,0.05042183771729469,0.9426504373550415
69,"{'sequence': ""This is an event called 'Informative campaign', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Informative and control campaign in bike lanes'"", 'labels': ['This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.'], 'scores': [0.6405633687973022, 0.31726574897766113, 0.042170826345682144]}",General Audience,0.6405633687973022,0.31726574897766113,0.6405633687973022,0.042170826345682144
71,"{'sequence': ""This is an event called 'Mobilitat i transport per carretera: com es contempla al nou codi d’accessibilitat?', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Ponència a sobre com contempla el Nou Codi d’accessibilitat català, el Decret 209/2023 la mobilitat i el transport per carretera.\r\nOnline a traves de la plataforma Zoom amb subtitulació en directe.\r\n de 17.00 a 19.00h\r\nGratuïta i amb inscripció prèvia. Més informació: ngarberi@ecom.cat\r\n\xa0https://forms.office.com/e/mzWQNLX2Ht'"", 'labels': ['This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.'], 'scores': [0.5298067331314087, 0.4203852713108063, 0.04980798438191414]}",General Audience,0.5298067331314087,0.4203852713108063,0.5298067331314087,0.04980798438191414
72,"{'sequence': ""This is an event called 'Dret a la Mobilitat Sostenible i Accessible: eines per la denúncia efectiva.', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Taller per seguir avançant cap a la mobilitat sostenible i defensar el dret de tothom a poder fer servir el transport públic. \r\nOnline a traves de la plataforma Zoom amb subtitulació en directe.\r\nde 17.00 a 19.00h \r\nGratuïta i amb inscripció prèvia. Més informació: ngarberi@ecom.cat\r\n\xa0https://forms.office.com/e/mzWQNLX2Ht'"", 'labels': ['This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.'], 'scores': [0.526147186756134, 0.3785906136035919, 0.09526214003562927]}",General Audience,0.526147186756134,0.3785906136035919,0.526147186756134,0.09526214003562927
83,"{'sequence': ""This is an event called 'Tool box for small and small cyclists', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Activity where we will give tools to children and their families, explaining the Bicibus movement to bike at school with children.\r\nto Francesc Candel Library.Amnisitia Internacional, 10 from 17:30\r\nWe have a park that gives inside the library and we plan to do the activity in the park.'"", 'labels': ['This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.', 'This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.'], 'scores': [0.5834302306175232, 0.40114790201187134, 0.015421820804476738]}",Children/Schools,0.5834302306175232,0.015421820804476738,0.40114790201187134,0.5834302306175232
86,"{'sequence': ""This is an event called 'Bike circulation course', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Course to learn to move around the city by bike.\r\nAn instructor will teach you how to cycle, basic regulations, etc.\r\nto street 62 no 12 from 10:00 to 12:00 h\r\nPre -registration for intranet with \r\nReduced group (maximum 8 peresones)'"", 'labels': ['This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.'], 'scores': [0.777293860912323, 0.1628374308347702, 0.05986868217587471]}",General Audience,0.777293860912323,0.1628374308347702,0.777293860912323,0.05986868217587471
87,"{'sequence': ""This is an event called 'Playful workshops for children', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Play activities for children to understand and work on the use of public space.\r\nat Monfart Street, s/n from 5pm to 6.30pm\r\nPre -registration is required at admin@fontdelaguatlla.org'"", 'labels': ['This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.', 'This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.'], 'scores': [0.9034130573272705, 0.08199867606163025, 0.01458827592432499]}",Children/Schools,0.9034130573272704,0.01458827592432499,0.08199867606163025,0.9034130573272705
89,"{'sequence': ""This is an event called 'Bicycle Self -Paparing Workshop', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Workshop to learn how to repair our bike.Space to solve doubts, repair some parts or learn how to maintenance.One of the objectives of this initiative is to promote sustainable mobility and recover public space for the citizenry.\r\nIn the courtyard Francesc Boix Library (C/ Blai 34) from 11am to 2pm'"", 'labels': ['This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.'], 'scores': [0.8886991143226624, 0.06573814898729324, 0.04556268826127052]}",General Audience,0.8886991143226624,0.04556268826127052,0.8886991143226624,0.06573814898729324
90,"{'sequence': ""This is an event called 'Bicifein on DA - Cycling Witnesses', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Internal promotion actions to promote bike journeys at work in the administrative district within the framework of the Bicifeina program.Interviews to users who travel to work by bike.\r\nAt Calle del Foc, 57 pm 24 h\r\nRegistration is required at bicifeina@bacc.cat'"", 'labels': ['This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.'], 'scores': [0.49112170934677124, 0.3829151391983032, 0.12596318125724792]}",General Audience,0.4911217093467712,0.3829151391983032,0.49112170934677124,0.12596318125724792
91,"{'sequence': ""This is an event called 'Electric scooter workshop', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'We will get to know the different parts of a scooter and learn how to do basic maintenance and small repairs.\r\nto Corts, 60 (Clot d'en Salvi Garden) from 17.30 to 19.30 h\r\nRegistration is required at \r\nhttps://inscriptions.ccrirablanca.com/mirammodular/buscador/buscador.jsp?g=1&c=45&t=ce&f=MM'"", 'labels': ['This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.'], 'scores': [0.6882624626159668, 0.18993234634399414, 0.12180523574352264]}",General Audience,0.6882624626159668,0.12180523574352264,0.6882624626159668,0.18993234634399414
104,"{'sequence': 'This is an event called \'launch of the citizen science project ""Stop Bike Theft""\', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: \'The activity is a launch of the ""Stop Bike Theft"" citizen science project to raise awareness of bicycle robberies in Barcelona.We organize, together with the Cubic cooperatives and here, a launch to present previous work, start an open debate with the citizenry and call on the action by presenting our campaign against theft of bicycles.The activity will include an hour of presentations, 30 minutes of colloquium and 30 minutes of participatory activities such as storytelling and mapping cycling activities in the city.\r\nCubic space: Carrer del Progrés, 35, Gràcia, 08012 Barcelona from 18h-20h\'', 'labels': ['This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.'], 'scores': [0.9244893193244934, 0.04993773624300957, 0.02557293511927128]}",General Audience,0.9244893193244934,0.04993773624300957,0.9244893193244934,0.02557293511927128
115,"{'sequence': ""This is an event called 'Mobility at Bernat', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'We occupy the space to claim the pacification of the school environment through educational activities\r\nC/ Menorca55 from 9.00 to13.30h'"", 'labels': ['This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.', 'This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.'], 'scores': [0.6728879809379578, 0.25683560967445374, 0.07027643918991089]}",Children/Schools,0.6728879809379578,0.07027643918991089,0.25683560967445374,0.6728879809379578
133,"{'sequence': ""This is an event called 'SHARED PUBLIC SPACE: CITIZEN SCHOOLS IN THE SQUARES AND PARKS OF BENETÚSSER', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'ALL DAY. In different squares and parks in Benetússer, different activities will be carried out for all audiences, in which citizens will be able to participate and share their knowledge, related to the environment, physical, artistic and cultural activity.'"", 'labels': ['This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.'], 'scores': [0.9362583160400391, 0.053489938378334045, 0.010251695290207863]}",General Audience,0.9362583160400392,0.010251695290207863,0.9362583160400391,0.053489938378334045
134,"{'sequence': ""This is an event called 'ENJOY LOCAL CULTURAL PROGRAMMING. THEATRE.', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'THEATRE: Entanglements and disappointments of AAC Tramoya (Municipal theatre group) Free admission. El Molí Cultural Center. At 7.00 pm.'"", 'labels': ['This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.'], 'scores': [0.5960227251052856, 0.2076873481273651, 0.19628992676734924]}",General Audience,0.5960227251052856,0.2076873481273651,0.5960227251052856,0.19628992676734924
135,"{'sequence': ""This is an event called 'l', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'l'"", 'labels': ['This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.'], 'scores': [0.5234518051147461, 0.41700440645217896, 0.059543732553720474]}",General Audience,0.5234518051147461,0.41700440645217896,0.5234518051147461,0.059543732553720474
140,"{'sequence': ""This is an event called 'Workshop What noise do we make?What air do we breathe?', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"", 'labels': ['This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.'], 'scores': [0.6417545676231384, 0.2000594139099121, 0.15818603336811066]}",General Audience,0.6417545676231384,0.2000594139099121,0.6417545676231384,0.15818603336811066
141,"{'sequence': ""This is an event called 'Electrical Skaters Workshop', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"", 'labels': ['This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.'], 'scores': [0.5675013661384583, 0.23470439016819, 0.19779421389102936]}",General Audience,0.5675013661384583,0.23470439016819,0.5675013661384583,0.19779421389102936
143,"{'sequence': ""This is an event called 'Talk public transport', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"", 'labels': ['This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.'], 'scores': [0.7503697276115417, 0.1795666664838791, 0.07006353884935379]}",General Audience,0.7503697276115417,0.1795666664838791,0.7503697276115417,0.07006353884935379
144,"{'sequence': ""This is an event called 'Wheelchair Workshop', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"", 'labels': ['This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.'], 'scores': [0.6299893260002136, 0.2466634064912796, 0.12334730476140976]}",General Audience,0.6299893260002136,0.2466634064912796,0.6299893260002136,0.12334730476140976
145,"{'sequence': ""This is an event called 'European Mobility Week', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'Exhibitions, conferences, presentations, press conferences, march by bicycle, ...'"", 'labels': ['This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.'], 'scores': [0.664067268371582, 0.3092755675315857, 0.026657143607735634]}",General Audience,0.664067268371582,0.3092755675315857,0.664067268371582,0.026657143607735634
148,"{'sequence': ""This is an event called 'News conference.Assessment of the Bilbao Zbe.First data', part of a broader effort during Mobility Week to promote sustainable mobility by local governments. Its complete description is: 'No description available'"", 'labels': ['This conference, workshop, or talk is designed for the general public to discuss mobility issues, raise awareness, and encourage sustainable practices.', 'This conference, workshop, or talk is aimed at professionals or policymakers in the mobility sector, discussing regulations, innovations, or infrastructure planning for sustainable mobility.', 'This conference, workshop, or talk is specifically targeted at children or schools, focusing on education and promoting safe and sustainable mobility among younger audiences.'], 'scores': [0.5549608469009399, 0.36641818284988403, 0.07862096279859543]}",General Audience,0.5549608469009399,0.36641818284988403,0.5549608469009399,0.07862096279859543
